datum,event_code,goldstein_scale,num_sources,geo_country,geo_country_code,geo_lat,geo_long,sourceurls
09-03-18,1831,-10,1,"Jawzjan, Jowzjan, Afghanistan",AF,36.8333,65.8333,http://www.businessinsider.com/r-afghan-air-strike-kills-islamic-state-commander-2018-4
08-04-18,183,-10,1,"Islamabad, Islamabad, Pakistan",PK,33.7,73.1667,http://www.xinhuanet.com/english/2018-04/08/c_137094461.htm
08-04-18,180,-9,1,"Beavercreek, Ohio, United States",US,39.7092,-84.0633,https://www.portclintonnewsherald.com/story/news/politics/2018/04/06/fbi-cliff-rosenberger-ohio-house-speaker/495424002/
08-04-18,180,-9,2,"Toronto, Ontario, Canada",CA,43.6667,-79.4167,https://toronto.ctvnews.ca/loaded-gun-cocaine-found-after-threat-at-nightclub-police-1.3875845
08-04-18,1822,-9,1,Mozambique,MZ,-18.25,35,https://www.zimeye.net/2018/04/06/zimbabwe-the-strange-the-weird-the-inexplicable-and-the-unacceptable/
08-04-18,180,-9,2,,,0,0,http://kstp.com/news/st-cloud-man-arrested-connection-assault-knife/4856635/?cat=12196
08-04-18,180,-9,1,"Aleppo, ?alab, Syria",SY,36.2028,37.1586,http://www.telegraphherald.com/ap/international/article_1b407449-32dc-53f6-945c-7d6f08f3ed83.html
08-04-18,182,-9.5,3,"New York, United States",US,42.1497,-74.9384,https://www.yahoo.com/news/trump-tower-fire-president-says-225349963.html
08-04-18,182,-9.5,31,,,0,0,https://www.theindychannel.com/news/local-news/indianapolis/multiple-people-stabbed-outside-library-in-downtown-indianapolis
08-04-18,181,-9,1,"Kashmir, North-West Frontier, Pakistan",PK,34.796,72.1502,https://www.thenews.com.pk/print/301891-a-handful-of-corrupt-people-ate-nation-s-resources-ji-chief
08-04-18,181,-9,1,"Kashmir, North-West Frontier, Pakistan",PK,34.796,72.1502,https://www.thenews.com.pk/print/301891-a-handful-of-corrupt-people-ate-nation-s-resources-ji-chief
08-04-18,181,-9,1,"Mingora, North-West Frontier, Pakistan",PK,34.7758,72.3625,https://www.thenews.com.pk/print/301891-a-handful-of-corrupt-people-ate-nation-s-resources-ji-chief
08-04-18,181,-9,1,"Kashmir, North-West Frontier, Pakistan",PK,34.796,72.1502,https://www.thenews.com.pk/print/301891-a-handful-of-corrupt-people-ate-nation-s-resources-ji-chief
08-04-18,180,-9,1,"Irepodun, Oyo, Nigeria",NI,7.5675,3.92889,http://thenationonlineng.net/offa-killings-apc-caucus-decries-carnage/
08-04-18,180,-9,1,"Ilorin, Kwara, Nigeria",NI,8.5,4.55,http://thenationonlineng.net/offa-killings-apc-caucus-decries-carnage/
08-04-18,180,-9,1,"Ilorin, Kwara, Nigeria",NI,8.5,4.55,http://thenationonlineng.net/offa-killings-apc-caucus-decries-carnage/
08-04-18,180,-9,1,"Irepodun, Oyo, Nigeria",NI,7.5675,3.92889,http://thenationonlineng.net/offa-killings-apc-caucus-decries-carnage/
